



                                  Escala padrão de Funcionários efetivo x folguista



        Linha        Frota         Cód. Escala       Efetivo       Folguista     Serviço       Hora Inicial            Hora Final 
          031      0002057           031U02          030238                        NOT             23:30                   04:20 
          319      0002164           319U07          030420                        11A             08:10                   15:15 
          340      0002075           340U06          030183                        01A             04:50                   13:34 

          340      0002075           340U06          030035                        01B             13:34                   22:49 
          340      0002184           340U06          030078                        02A             05:09                   09:05 

          340      0002183           340U06          030098                        02C             14:18                   19:02 
          340      0002174           340U06          030160                        03A             05:28                   14:09 

          340      0002174           340U06          030236                        03C             15:44                   22:29 

          340      0002173           340U06          030100                        04A             05:47                   14:40 
          340      0002173           340U06          030252                        04B             14:40                   23:33 

          340      0002125           340U06          030242                        05A             06:06                   12:50 
          340      0002125           340U06          030093                        05B             12:50                   21:47 

          340      0002138           340U06          030148                        06A             06:25                   15:24 
          340      0002138           340U06          030192                        06B             15:24                   00:25 

          340      0002139           340U06          030350                        07A             07:22                   13:56 
          340      0002139           340U06          030365                        07B             13:56                   21:03 

          380      0002096           380U02          030103                        01A             06:10                   14:02 
          380      0002096           380U02          030260                        01B             14:02                   00:05 

          380      0002129           380U02          030263                        02A             05:50                   10:22 

          380      0002129           380U02          030355                        02B             10:22                   19:30 
          445                        445U01                                        P01             07:40                   10:00 

          445                        445U01                                        P02             00:30                   07:30 
          445                        445U01                                        P03             05:00                   12:00 

          445                        445U01          030265                        P04             05:00                   12:00 
          445                        445U01                                        P05             05:00                   12:00 

          445                        445U01                                        P06             05:00                   12:00 
          445                        445U01          030258                        P07             05:00                   12:00 

          445                        445U01                                        P08             06:00                   13:00 
          445                        445U01                                        P09             06:00                   13:00 

          445                        445U01          030105                        P10             05:00                   12:00 
          445                        445U01                                        P11             12:00                   19:00 

          445                        445U01                                        P12             12:00                   19:00 

          445                        445U01          030101                        P13             07:00                   14:00 
          445                        445U01                                        P14             13:00                   20:00 

          445                        445U01          030357                        P15             13:00                   20:00 
          445                        445U01          030433                        P16             13:00                   20:00 

          445                        445U01          030149                        P17             13:00                   20:00 
          445                        445U01                                        P18             15:00                   22:00 

